color_id,white,pink,red,orange,yellow,black,purple
1,1,1,1,1,1,1,0
2,1,1,1,1,1,0,1
3,1,1,1,1,1,1,1
4,1,1,1,1,1,0,0
5,1,1,1,1,0,1,0
6,1,1,1,1,0,0,1
7,1,1,1,1,0,1,1
8,1,1,1,1,0,0,0
9,1,1,1,0,1,1,0
10,1,1,1,0,1,0,1
11,1,1,1,0,1,1,1
12,1,1,1,0,1,0,0
13,1,1,1,0,0,1,0
14,1,1,1,0,0,0,1
15,1,1,1,0,0,1,1
16,1,1,1,0,0,0,0
17,1,1,0,1,1,1,0
18,1,1,0,1,1,0,1
19,1,1,0,1,1,1,1
20,1,1,0,1,1,0,0
21,1,1,0,1,0,1,0
22,1,1,0,1,0,0,1
23,1,1,0,1,0,1,1
24,1,1,0,1,0,0,0
25,1,1,0,0,1,1,0
26,1,1,0,0,1,0,1
27,1,1,0,0,1,1,1
28,1,1,0,0,1,0,0
29,1,1,0,0,0,1,0
30,1,1,0,0,0,0,1
31,1,1,0,0,0,1,1
32,1,1,0,0,0,0,0
33,1,0,1,1,1,1,0
34,1,0,1,1,1,0,1
35,1,0,1,1,1,1,1
36,1,0,1,1,1,0,0
37,1,0,1,1,0,1,0
38,1,0,1,1,0,0,1
39,1,0,1,1,0,1,1
40,1,0,1,1,0,0,0
41,1,0,1,0,1,1,0
42,1,0,1,0,1,0,1
43,1,0,1,0,1,1,1
44,1,0,1,0,1,0,0
45,1,0,1,0,0,1,0
46,1,0,1,0,0,0,1
47,1,0,1,0,0,1,1
48,1,0,1,0,0,0,0
49,1,0,0,1,1,1,0
50,1,0,0,1,1,0,1
51,1,0,0,1,1,1,1
52,1,0,0,1,1,0,0
53,1,0,0,1,0,1,0
54,1,0,0,1,0,0,1
55,1,0,0,1,0,1,1
56,1,0,0,1,0,0,0
57,1,0,0,0,1,1,0
58,1,0,0,0,1,0,1
59,1,0,0,0,1,1,1
60,1,0,0,0,1,0,0
61,1,0,0,0,0,1,0
62,1,0,0,0,0,0,1
63,1,0,0,0,0,1,1
64,1,0,0,0,0,0,0
65,0,1,1,1,1,1,0
66,0,1,1,1,1,0,1
67,0,1,1,1,1,1,1
68,0,1,1,1,1,0,0
69,0,1,1,1,0,1,0
70,0,1,1,1,0,0,1
71,0,1,1,1,0,1,1
72,0,1,1,1,0,0,0
73,0,1,1,0,1,1,0
74,0,1,1,0,1,0,1
75,0,1,1,0,1,1,1
76,0,1,1,0,1,0,0
77,0,1,1,0,0,1,0
78,0,1,1,0,0,0,1
79,0,1,1,0,0,1,1
80,0,1,1,0,0,0,0
81,0,1,0,1,1,1,0
82,0,1,0,1,1,0,1
83,0,1,0,1,1,1,1
84,0,1,0,1,1,0,0
85,0,1,0,1,0,1,0
86,0,1,0,1,0,0,1
87,0,1,0,1,0,1,1
88,0,1,0,1,0,0,0
89,0,1,0,0,1,1,0
90,0,1,0,0,1,0,1
91,0,1,0,0,1,1,1
92,0,1,0,0,1,0,0
93,0,1,0,0,0,1,0
94,0,1,0,0,0,0,1
95,0,1,0,0,0,1,1
96,0,1,0,0,0,0,0
97,0,0,1,1,1,1,0
98,0,0,1,1,1,0,1
99,0,0,1,1,1,1,1
100,0,0,1,1,1,0,0
101,0,0,1,1,0,1,0
102,0,0,1,1,0,0,1
103,0,0,1,1,0,1,1
104,0,0,1,1,0,0,0
105,0,0,1,0,1,1,0
106,0,0,1,0,1,0,1
107,0,0,1,0,1,1,1
108,0,0,1,0,1,0,0
109,0,0,1,0,0,1,0
110,0,0,1,0,0,0,1
111,0,0,1,0,0,1,1
112,0,0,1,0,0,0,0
113,0,0,0,1,1,1,0
114,0,0,0,1,1,0,1
115,0,0,0,1,1,1,1
116,0,0,0,1,1,0,0
117,0,0,0,1,0,1,0
118,0,0,0,1,0,0,1
119,0,0,0,1,0,1,1
120,0,0,0,1,0,0,0
121,0,0,0,0,1,1,0
122,0,0,0,0,1,0,1
123,0,0,0,0,1,1,1
124,0,0,0,0,1,0,0
125,0,0,0,0,0,1,0
126,0,0,0,0,0,0,1
127,0,0,0,0,0,1,1
128,0,0,0,0,0,0,0